embedding_model,metric,min_cluster_size,min_samples,nr_topics,n_topics,outliers,outlier_pct,time_sec
all-MiniLM-L6-v2,euclidean,10,5,8,7,4856,42.35,9.35
all-MiniLM-L6-v2,euclidean,10,5,10,9,4789,41.76,6.44
all-MiniLM-L6-v2,euclidean,10,5,12,11,4830,42.12,6.23
all-MiniLM-L6-v2,euclidean,10,5,14,13,4694,40.93,6.84
all-MiniLM-L6-v2,manhattan,10,5,8,7,4581,39.95,7.24
all-MiniLM-L6-v2,manhattan,10,5,10,9,4685,40.86,6.25
all-MiniLM-L6-v2,manhattan,10,5,12,11,4730,41.25,7.71
all-MiniLM-L6-v2,manhattan,10,5,14,13,4402,38.39,8.34
all-MiniLM-L6-v2,cosine,10,5,8,7,4637,40.44,9.81
all-MiniLM-L6-v2,cosine,10,5,10,9,4372,38.13,8.3
all-MiniLM-L6-v2,cosine,10,5,12,11,4421,38.55,6.98
all-MiniLM-L6-v2,cosine,10,5,14,13,4574,39.89,9.62
all-MiniLM-L6-v2,euclidean,10,7,8,7,4758,41.49,7.07
all-MiniLM-L6-v2,euclidean,10,7,10,9,4895,42.69,5.98
all-MiniLM-L6-v2,euclidean,10,7,12,11,4857,42.36,7.41
all-MiniLM-L6-v2,euclidean,10,7,14,13,5114,44.6,9.79
all-MiniLM-L6-v2,manhattan,10,7,8,7,4887,42.62,8.9
all-MiniLM-L6-v2,manhattan,10,7,10,9,5109,44.55,8.63
all-MiniLM-L6-v2,manhattan,10,7,12,11,5021,43.79,6.65
all-MiniLM-L6-v2,manhattan,10,7,14,13,4996,43.57,6.41
all-MiniLM-L6-v2,cosine,10,7,8,7,4784,41.72,7.28
all-MiniLM-L6-v2,cosine,10,7,10,9,5156,44.96,11.27
all-MiniLM-L6-v2,cosine,10,7,12,11,4748,41.41,6.13
all-MiniLM-L6-v2,cosine,10,7,14,13,5023,43.8,5.8
all-MiniLM-L6-v2,euclidean,10,9,8,7,5379,46.91,6.36
all-MiniLM-L6-v2,euclidean,10,9,10,9,5420,47.27,7.69
all-MiniLM-L6-v2,euclidean,10,9,12,11,4849,42.29,9.32
all-MiniLM-L6-v2,euclidean,10,9,14,13,4882,42.57,6.44
all-MiniLM-L6-v2,manhattan,10,9,8,7,5026,43.83,6.86
all-MiniLM-L6-v2,manhattan,10,9,10,9,5378,46.9,6.35
all-MiniLM-L6-v2,manhattan,10,9,12,11,5015,43.73,6.6
all-MiniLM-L6-v2,manhattan,10,9,14,13,5353,46.68,7.12
all-MiniLM-L6-v2,cosine,10,9,8,7,5022,43.8,6.61
all-MiniLM-L6-v2,cosine,10,9,10,9,4890,42.64,7.14
all-MiniLM-L6-v2,cosine,10,9,12,11,5164,45.03,7.34
all-MiniLM-L6-v2,cosine,10,9,14,13,5223,45.55,6.34
all-MiniLM-L6-v2,euclidean,12,5,8,7,4869,42.46,6.02
all-MiniLM-L6-v2,euclidean,12,5,10,9,4772,41.62,6.82
all-MiniLM-L6-v2,euclidean,12,5,12,11,4463,38.92,6.65
all-MiniLM-L6-v2,euclidean,12,5,14,13,4463,38.92,7.83
all-MiniLM-L6-v2,manhattan,12,5,8,7,4855,42.34,6.46
all-MiniLM-L6-v2,manhattan,12,5,10,9,4876,42.52,7.15
all-MiniLM-L6-v2,manhattan,12,5,12,11,4857,42.36,7.6
all-MiniLM-L6-v2,manhattan,12,5,14,13,4691,40.91,6.5
all-MiniLM-L6-v2,cosine,12,5,8,7,4746,41.39,9.77
all-MiniLM-L6-v2,cosine,12,5,10,9,4692,40.92,9.46
all-MiniLM-L6-v2,cosine,12,5,12,11,4503,39.27,7.24
all-MiniLM-L6-v2,cosine,12,5,14,13,4764,41.55,7.81
all-MiniLM-L6-v2,euclidean,12,7,8,7,4886,42.61,6.78
all-MiniLM-L6-v2,euclidean,12,7,10,9,5174,45.12,7.48
all-MiniLM-L6-v2,euclidean,12,7,12,11,4430,38.63,6.14
all-MiniLM-L6-v2,euclidean,12,7,14,13,5131,44.75,6.04
all-MiniLM-L6-v2,manhattan,12,7,8,7,4945,43.12,6.21
all-MiniLM-L6-v2,manhattan,12,7,10,9,4924,42.94,6.35
all-MiniLM-L6-v2,manhattan,12,7,12,11,4843,42.23,5.07
all-MiniLM-L6-v2,manhattan,12,7,14,13,5033,43.89,7.75
all-MiniLM-L6-v2,cosine,12,7,8,7,4840,42.21,6.86
all-MiniLM-L6-v2,cosine,12,7,10,9,4712,41.09,6.25
all-MiniLM-L6-v2,cosine,12,7,12,11,4904,42.77,6.32
all-MiniLM-L6-v2,cosine,12,7,14,13,4719,41.15,7.18
all-MiniLM-L6-v2,euclidean,12,9,8,7,4890,42.64,5.94
all-MiniLM-L6-v2,euclidean,12,9,10,9,5246,45.75,5.94
all-MiniLM-L6-v2,euclidean,12,9,12,11,5056,44.09,7.02
all-MiniLM-L6-v2,euclidean,12,9,14,13,4925,42.95,8.69
all-MiniLM-L6-v2,manhattan,12,9,8,7,5172,45.1,9.09
all-MiniLM-L6-v2,manhattan,12,9,10,9,5171,45.09,8.24
all-MiniLM-L6-v2,manhattan,12,9,12,11,5093,44.41,7.34
all-MiniLM-L6-v2,manhattan,12,9,14,13,5222,45.54,7.2
all-MiniLM-L6-v2,cosine,12,9,8,7,5265,45.91,6.67
all-MiniLM-L6-v2,cosine,12,9,10,9,5127,44.71,6.8
all-MiniLM-L6-v2,cosine,12,9,12,11,4874,42.5,5.59
all-MiniLM-L6-v2,cosine,12,9,14,13,5150,44.91,8.09
all-MiniLM-L6-v2,euclidean,14,5,8,7,4608,40.18,7.97
all-MiniLM-L6-v2,euclidean,14,5,10,9,4584,39.98,5.77
all-MiniLM-L6-v2,euclidean,14,5,12,11,4905,42.77,5.95
all-MiniLM-L6-v2,euclidean,14,5,14,13,4849,42.29,9.56
all-MiniLM-L6-v2,manhattan,14,5,8,7,4753,41.45,12.06
all-MiniLM-L6-v2,manhattan,14,5,10,9,4684,40.85,9.61
all-MiniLM-L6-v2,manhattan,14,5,12,11,4884,42.59,9.86
all-MiniLM-L6-v2,manhattan,14,5,14,13,4885,42.6,9.68
all-MiniLM-L6-v2,cosine,14,5,8,7,4831,42.13,12.98
all-MiniLM-L6-v2,cosine,14,5,10,9,4831,42.13,8.64
all-MiniLM-L6-v2,cosine,14,5,12,11,4565,39.81,8.06
all-MiniLM-L6-v2,cosine,14,5,14,13,4852,42.31,7.73
all-MiniLM-L6-v2,euclidean,14,7,8,7,4643,40.49,7.13
all-MiniLM-L6-v2,euclidean,14,7,10,9,4738,41.32,15.59
all-MiniLM-L6-v2,euclidean,14,7,12,11,5025,43.82,10.13
all-MiniLM-L6-v2,euclidean,14,7,14,13,5210,45.43,11.97
all-MiniLM-L6-v2,manhattan,14,7,8,7,4733,41.27,10.25
all-MiniLM-L6-v2,manhattan,14,7,10,9,5216,45.49,7.9
all-MiniLM-L6-v2,manhattan,14,7,12,11,5235,45.65,10.33
all-MiniLM-L6-v2,manhattan,14,7,14,13,4941,43.09,10.02
all-MiniLM-L6-v2,cosine,14,7,8,7,4935,43.04,8.38
all-MiniLM-L6-v2,cosine,14,7,10,9,4717,41.14,9.15
all-MiniLM-L6-v2,cosine,14,7,12,11,5058,44.11,16.07
all-MiniLM-L6-v2,cosine,14,7,14,13,4889,42.64,11.19
all-MiniLM-L6-v2,euclidean,14,9,8,7,5186,45.23,10.75
all-MiniLM-L6-v2,euclidean,14,9,10,9,5019,43.77,9.86
all-MiniLM-L6-v2,euclidean,14,9,12,11,5232,45.63,9.78
all-MiniLM-L6-v2,euclidean,14,9,14,13,4872,42.49,11.41
all-MiniLM-L6-v2,manhattan,14,9,8,7,5281,46.05,12.26
all-MiniLM-L6-v2,manhattan,14,9,10,9,5075,44.26,11.61
all-MiniLM-L6-v2,manhattan,14,9,12,11,5311,46.32,14.03
all-MiniLM-L6-v2,manhattan,14,9,14,13,5235,45.65,9.3
all-MiniLM-L6-v2,cosine,14,9,8,7,5060,44.13,10.15
all-MiniLM-L6-v2,cosine,14,9,10,9,5122,44.67,8.3
